"year","observed","ef_kg_per_mwh","two_period_hat","post_median_hat","pollutant","group","break_year"
2015,TRUE,0.0167545678899091,0.0156081105641873,0.0167545678899091,"TSP","Bituminous coal",2022
2016,TRUE,0.0136716566980591,0.0142324867598813,0.0136716566980591,"TSP","Bituminous coal",2022
2017,TRUE,0.0120416350562917,0.0128568629555753,0.0120416350562917,"TSP","Bituminous coal",2022
2018,TRUE,0.0116969780789259,0.0114812391512693,0.0116969780789259,"TSP","Bituminous coal",2022
2019,TRUE,0.00964722468707096,0.0101056153469633,0.00964722468707096,"TSP","Bituminous coal",2022
2020,TRUE,0.00818587403138672,0.00872999154265736,0.00818587403138672,"TSP","Bituminous coal",2022
2021,TRUE,0.00837073761724177,0.00735436773835136,0.00837073761724177,"TSP","Bituminous coal",2022
2022,TRUE,0.00492786544514356,0.00639862148202355,0.00492786544514356,"TSP","Bituminous coal",2022
2023,TRUE,0.007825604630631,0.00639862148202355,0.007825604630631,"TSP","Bituminous coal",2022
2024,TRUE,0.0064423943702961,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2025,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2026,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2027,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2028,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2029,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2030,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2031,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2032,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2033,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2034,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2035,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2036,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2037,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2038,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2039,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2040,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2041,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2042,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2043,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2044,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2045,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2046,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2047,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2048,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2049,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
2050,FALSE,,0.00639862148202355,0.0064423943702961,"TSP","Bituminous coal",2022
