Year,Province,Technology,Generation_TWh
2025,CNA,ThermalPower{Uranium},2.4e-05
2025,CNA,ThermalSteam{Coal},0.243922
2025,CNA,ThermalSteam{NaturalGas},1.077875
2025,CNA,VRE,1.1e-05
2025,CNB,Battery,0.000495
2025,CNB,ThermalPowerCCS{Coal},0.0
2025,CNB,ThermalPowerCCS{NaturalGas},0.0
2025,CNB,ThermalPower{Coal},4.7e-05
2025,CNB,ThermalPower{NaturalGas},0.001918
2025,CNB,ThermalPower{Uranium},2.3e-05
2025,CNB,ThermalSteam{Coal},0.139827
2025,CNB,ThermalSteam{NaturalGas},1.191626
2025,CNB,VRE,1.4e-05
2025,DJJ,Battery,0.00032
2025,DJJ,ThermalPowerCCS{Coal},0.0
2025,DJJ,ThermalPowerCCS{NaturalGas},0.0
2025,DJJ,ThermalPower{Coal},6.9e-05
2025,DJJ,ThermalPower{NaturalGas},9.256978
2025,DJJ,ThermalPower{Uranium},2.7e-05
2025,DJJ,ThermalSteam{Coal},0.058184
2025,DJJ,ThermalSteam{NaturalGas},0.604374
2025,DJJ,VRE,6e-06
2025,GGI,Battery,0.000332
2025,GGI,ThermalPowerCCS{Coal},0.0
2025,GGI,ThermalPowerCCS{NaturalGas},0.0
2025,GGI,ThermalPower{Coal},6.2e-05
2025,GGI,ThermalPower{NaturalGas},48.681468
2025,GGI,ThermalPower{Uranium},2.5e-05
2025,GGI,ThermalSteam{Coal},6.3e-05
2025,GGI,ThermalSteam{NaturalGas},10.417866
2025,GGI,VRE,8e-06
2025,GNA,Battery,0.002059
2025,GNA,ThermalPowerCCS{Coal},0.0
2025,GNA,ThermalPowerCCS{NaturalGas},0.0
2025,GNA,ThermalPower{Coal},71.831539
2025,GNA,ThermalPower{NaturalGas},0.012403
2025,GNA,ThermalPower{Uranium},2.5e-05
2025,GNA,ThermalSteam{Coal},0.063076
2025,GNA,ThermalSteam{NaturalGas},2.168025
2025,GNA,VRE,1.9e-05
2025,GNB,Battery,0.002987
2025,GNB,ThermalPowerCCS{Coal},0.0
2025,GNB,ThermalPowerCCS{NaturalGas},0.0
2025,GNB,ThermalPower{Coal},5e-05
2025,GNB,ThermalPower{NaturalGas},16.767278
2025,GNB,ThermalPower{Uranium},2.2e-05
2025,GNB,ThermalSteam{Coal},0.374401
2025,GNB,ThermalSteam{NaturalGas},1.587557
2025,GNB,VRE,1.5e-05
2025,GWN,Battery,0.000552
2025,GWN,ThermalPowerCCS{Coal},0.0
2025,GWN,ThermalPowerCCS{NaturalGas},0.0
2025,GWN,ThermalPower{Coal},21.861652
2025,GWN,ThermalPower{NaturalGas},1.062005
2025,GWN,ThermalPower{Uranium},2.4e-05
2025,GWN,ThermalSteam{Coal},7.7e-05
2025,GWN,ThermalSteam{NaturalGas},1.004817
2025,GWN,VRE,1.5e-05
2025,INC,Battery,0.000296
2025,INC,ThermalPowerCCS{Coal},0.0
2025,INC,ThermalPowerCCS{NaturalGas},0.0
2025,INC,ThermalPower{Coal},43.247174
2025,INC,ThermalPower{NaturalGas},2.095407
2025,INC,ThermalPower{Uranium},2e-05
2025,INC,ThermalSteam{Coal},0.304636
2025,INC,ThermalSteam{NaturalGas},1.500224
2025,INC,VRE,7e-06
2025,JEJ,Battery,0.003761
2025,JEJ,ThermalPowerCCS{Coal},0.0
