"year","observed","ef_kg_per_mwh","two_period_hat","post_median_hat","pollutant","group","break_year"
2015,TRUE,0.361915972896083,0.38742872696864,0.361915972896083,"NOx","Gas",2021
2016,TRUE,0.390019406910701,0.332641070589199,0.390019406910701,"NOx","Gas",2021
2017,TRUE,0.253760530413394,0.277853414209757,0.253760530413394,"NOx","Gas",2021
2018,TRUE,0.211634124711801,0.223065757830316,0.211634124711801,"NOx","Gas",2021
2019,TRUE,0.16147044415377,0.168278101450875,0.16147044415377,"NOx","Gas",2021
2020,TRUE,0.12395703703447,0.113490445071433,0.12395703703447,"NOx","Gas",2021
2021,TRUE,0.105257992027423,0.100388294717127,0.105257992027423,"NOx","Gas",2021
2022,TRUE,0.103129180748818,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2023,TRUE,0.0927777113751381,0.100388294717127,0.0927777113751381,"NOx","Gas",2021
2024,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2025,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2026,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2027,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2028,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2029,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2030,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2031,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2032,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2033,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2034,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2035,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2036,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2037,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2038,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2039,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2040,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2041,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2042,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2043,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2044,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2045,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2046,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2047,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2048,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2049,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
2050,FALSE,,0.100388294717127,0.103129180748818,"NOx","Gas",2021
