"year","observed","ef_kg_per_mwh","two_period_hat","post_median_hat","pollutant","group","break_year"
2015,TRUE,0.471173757720348,0.467302519552554,0.471173757720348,"NOx","Bituminous coal",2020
2016,TRUE,0.412960584105175,0.386316127652896,0.412960584105175,"NOx","Bituminous coal",2020
2017,TRUE,0.264796935790958,0.305329735753239,0.264796935790958,"NOx","Bituminous coal",2020
2018,TRUE,0.209990621750129,0.224343343853582,0.209990621750129,"NOx","Bituminous coal",2020
2019,TRUE,0.167726779399584,0.143356951953924,0.167726779399584,"NOx","Bituminous coal",2020
2020,TRUE,0.128978854054874,0.113491032772819,0.128978854054874,"NOx","Bituminous coal",2020
2021,TRUE,0.116233898047284,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2022,TRUE,0.105554876450956,0.113491032772819,0.105554876450956,"NOx","Bituminous coal",2020
2023,TRUE,0.139979635117613,0.113491032772819,0.139979635117613,"NOx","Bituminous coal",2020
2024,TRUE,0.0767079001933706,0.113491032772819,0.0767079001933706,"NOx","Bituminous coal",2020
2025,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2026,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2027,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2028,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2029,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2030,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2031,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2032,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2033,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2034,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2035,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2036,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2037,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2038,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2039,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2040,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2041,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2042,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2043,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2044,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2045,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2046,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2047,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2048,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2049,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
2050,FALSE,,0.113491032772819,0.116233898047284,"NOx","Bituminous coal",2020
