"year","rows","plants","plants_with_generation","plants_with_any_ef","total_generation_mwh"
2015,112,112,75,31,276323021
2016,115,115,75,32,273849160
2017,84,84,76,71,334412247.172722
2018,83,83,41,36,324059713.280031
2019,84,84,41,37,306402991.079578
2020,86,86,40,37,276902441.219228
2021,89,89,41,38,290940050.762572
2022,89,89,40,37,276414693.953417
2023,91,91,41,39,255645694.66642
2024,94,94,84,77,304440783.399293
