"energy_type_clean","date","emissions_kg","generation_mwh","emissions_kg_ma6"
"bio_oil_and_diesel",2010-06-01,1049,113800.7,893.833333333333
"coal",2010-06-01,133722.6301,8481304.927,133889.807116667
"natural_gas",2010-06-01,0,1635569.607,0
"oil",2010-06-01,3024.8016,264312.136,2726.44136666667
"oil_and_natural_gas",2010-06-01,500,155532,1550
"bio_oil_and_diesel",2010-07-01,1024,109452.5,921.666666666667
"coal",2010-07-01,156060.7742,9535802.557,133928.543033333
"natural_gas",2010-07-01,0,1509215.728,0
"oil",2010-07-01,2952.5749,340937.092,2658.70265
"oil_and_natural_gas",2010-07-01,800,189444,1100
"bio_oil_and_diesel",2010-08-01,871,119718,933.5
"coal",2010-08-01,165804.1088,9743592.528,139253.578133333
"natural_gas",2010-08-01,0,1502368.608,0
"oil",2010-08-01,3293.37,336358.798,2731.26003333333
"oil_and_natural_gas",2010-08-01,1000,233223,933.333333333333
"bio_oil_and_diesel",2010-09-01,774,98102,919.166666666667
"coal",2010-09-01,155039.794,9150803.81,140678.783383333
"natural_gas",2010-09-01,0,1400951.041,0
"oil",2010-09-01,2363.0945,218616.339,2438.1226
"oil_and_natural_gas",2010-09-01,500,131108,750
"bio_oil_and_diesel",2010-10-01,649,67453.9,896.166666666667
"coal",2010-10-01,163284.9312,9079936.913,148691.984166667
"natural_gas",2010-10-01,0,1246416.962,0
"oil",2010-10-01,1380.1628,118962.363,2446.8166
"oil_and_natural_gas",2010-10-01,500,86847,666.666666666667
"bio_oil_and_diesel",2010-11-01,1122,115135.9,914.833333333333
"coal",2010-11-01,152667.4082,8693029.666,154429.941083333
"natural_gas",2010-11-01,0,1883908.382,0
"oil",2010-11-01,86.9498,12475.252,2183.49226666667
"oil_and_natural_gas",2010-11-01,900,159238,700
"bio_oil_and_diesel",2010-12-01,1248,113177.5,948
"coal",2010-12-01,157230.9176,9084906.48,158347.989
"natural_gas",2010-12-01,0,2610977.407,0
"oil",2010-12-01,5365.8927,442661.844,2573.67411666667
"oil_and_natural_gas",2010-12-01,2200,339298,983.333333333333
"bio_oil_and_diesel",2011-01-01,1446,119814.5,1018.33333333333
"coal",2011-01-01,161162.5136,9661630.548,159198.2789
"natural_gas",2011-01-01,0,3064794.586,0
"oil",2011-01-01,8617.2927,821544.252,3517.79375
"oil_and_natural_gas",2011-01-01,2500,606971,1266.66666666667
"bio_oil_and_diesel",2011-02-01,1307,97014.6,1091
"coal",2011-02-01,138102.6496,8270466.699,154581.369033333
"natural_gas",2011-02-01,0,2053557.912,0
"oil",2011-02-01,3247.7297,360292.407,3510.18703333333
"oil_and_natural_gas",2011-02-01,700,210557,1216.66666666667
"bio_oil_and_diesel",2011-03-01,1375,117877.6,1191.16666666667
"coal",2011-03-01,157634.9195,8826774.621,155013.88995
"natural_gas",2011-03-01,0,2333401.22,0
"oil",2011-03-01,4359.3881,542130.697,3842.90263333333
"oil_and_natural_gas",2011-03-01,1400,273978,1366.66666666667
"bio_oil_and_diesel",2011-04-01,1299,104419.1,1299.5
"coal",2011-04-01,138709.0637,7962411.121,150917.912033333
"natural_gas",2011-04-01,0,2088667.537,0
"oil",2011-04-01,429.7776,57202.948,3684.5051
"oil_and_natural_gas",2011-04-01,1000,258353,1450
"bio_oil_and_diesel",2011-05-01,1318,106204.9,1332.16666666667
"coal",2011-05-01,143274.7176,7932640.042,149352.4636
"natural_gas",2011-05-01,0,1514043.597,0
"oil_and_natural_gas",2011-05-01,200,46419,1333.33333333333
"bio_oil_and_diesel",2011-06-01,1163,109019.9,1318
"coal",2011-06-01,165085.2343,8276996.31,150661.516383333
"natural_gas",2011-06-01,0,1686210.282,0
"oil",2011-06-01,3518.3633,300922.093,4256.40735
"oil_and_natural_gas",2011-06-01,900,257417,1116.66666666667
"bio_oil_and_diesel",2011-07-01,1447,112658.3,1318.16666666667
"coal",2011-07-01,177622.2133,9607051.394,153404.799666667
"natural_gas",2011-07-01,0,1567311.368,0
"oil",2011-07-01,1128.5275,102508.34,3550.17981666667
"oil_and_natural_gas",2011-07-01,300,60497,750
"bio_oil_and_diesel",2011-08-01,1542,116750.6,1357.33333333333
"coal",2011-08-01,176543.1586,9557836.752,159811.551166667
"natural_gas",2011-08-01,0,1520130.243,0
"oil",2011-08-01,466.476,46040.284,2191.71036666667
"oil_and_natural_gas",2011-08-01,400,78040,700
"bio_oil_and_diesel",2011-09-01,913,105784.9,1280.33333333333
"coal",2011-09-01,154225.047,8819140.194,159243.239083333
"natural_gas",2011-09-01,0,1673191.309,0
"oil",2011-09-01,2385.1121,273110.171,2047.94076666667
"oil_and_natural_gas",2011-09-01,800,195527,600
"bio_oil_and_diesel",2011-10-01,632,67976.1,1169.16666666667
"coal",2011-10-01,170550.3051,9609025.425,164550.11265
"natural_gas",2011-10-01,0,1376919.203,0
"oil",2011-10-01,860.6101,86332.907,1464.8111
"oil_and_natural_gas",2011-10-01,400,75617,500
"bio_oil_and_diesel",2011-11-01,936,107309.5,1105.5
"coal",2011-11-01,154158.0962,9031969.142,166364.009083333
"natural_gas",2011-11-01,0,1718918.992,0
"oil",2011-11-01,1154.7545,103238.337,1585.64058333333
"oil_and_natural_gas",2011-11-01,800,187186,600
"bio_oil_and_diesel",2011-12-01,921,115584.6,1065.16666666667
"coal",2011-12-01,171949.7592,9678002.772,167508.096566667
"natural_gas",2011-12-01,0,2427947.947,0
"oil",2011-12-01,4147.9778,325193.508,1690.57633333333
"oil_and_natural_gas",2011-12-01,1600,315707,716.666666666667
"bio_oil_and_diesel",2012-01-01,947,124290.4,981.833333333333
"coal",2012-01-01,167111.6543,9606218.774,165756.336733333
"natural_gas",2012-01-01,0,2342198.968,0
"oil",2012-01-01,5327.1987,371447.121,2390.35486666667
"oil_and_natural_gas",2012-01-01,1100,314612,850
"bio_oil_and_diesel",2012-02-01,987,109871.2,889.333333333333
"coal",2012-02-01,150232.0962,9079032.453,161371.159666667
"natural_gas",2012-02-01,0,2469022.995,0
"oil",2012-02-01,6058.1776,465464.396,3322.30513333333
"oil_and_natural_gas",2012-02-01,1100,315088,966.666666666667
"bio_oil_and_diesel",2012-03-01,1105,114751.5,921.333333333333
"coal",2012-03-01,162404.3424,9283275.27,162734.375566667
"natural_gas",2012-03-01,0,2343485.376,0
"oil",2012-03-01,4155.873,526119.54,3617.43195
"oil_and_natural_gas",2012-03-01,1100,317643,1016.66666666667
"bio_oil_and_diesel",2012-04-01,1010,103279.5,984.333333333333
"coal",2012-04-01,134238.9742,7559439.272,156682.487083333
"natural_gas",2012-04-01,0,2025016.034,0
"oil",2012-04-01,2810.3892,558424.725,3942.39513333333
"oil_and_natural_gas",2012-04-01,1300,425772,1166.66666666667
"bio_oil_and_diesel",2012-05-01,1293,114456.1,1043.83333333333
"coal",2012-05-01,145917.5712,8093215.806,155309.06625
"natural_gas",2012-05-01,0,1844143.863,0
"oil",2012-05-01,5508.2961,570036.769,4667.9854
"oil_and_natural_gas",2012-05-01,1300,401554,1250
"bio_oil_and_diesel",2012-06-01,1217,102371.6,1093.16666666667
"coal",2012-06-01,156057.9959,8634073.352,152660.439033333
"natural_gas",2012-06-01,0,1831023.734,0
"oil",2012-06-01,5904.4391,634889.038,4960.72895
"oil_and_natural_gas",2012-06-01,900,247308,1133.33333333333
"bio_oil_and_diesel",2012-07-01,1387,118762.5,1166.5
"coal",2012-07-01,168894.5683,9359355.259,152957.591366667
"natural_gas",2012-07-01,0,1975327.289,0
"oil",2012-07-01,6113.8885,681315.959,5091.84391666667
"oil_and_natural_gas",2012-07-01,900,356358,1100
"bio_oil_and_diesel",2012-08-01,1534,117896.7,1257.66666666667
"coal",2012-08-01,169745.8585,9602901.668,156209.885083333
"natural_gas",2012-08-01,0,1785423.888,0
"oil",2012-08-01,7115.0875,659252.6,5267.99556666667
"oil_and_natural_gas",2012-08-01,700,231672,1033.33333333333
"bio_oil_and_diesel",2012-09-01,996,96070.6,1239.5
"coal",2012-09-01,148213.1663,8596426.137,153844.689066667
"natural_gas",2012-09-01,0,1506928.787,0
"oil",2012-09-01,2509.6343,211027.146,4993.62245
"oil_and_natural_gas",2012-09-01,200,51823,883.333333333333
"bio_oil_and_diesel",2012-10-01,699,74755.4,1187.66666666667
"coal",2012-10-01,143101.5242,8299161.71,155321.780733333
"natural_gas",2012-10-01,0,1472045.446,0
"oil",2012-10-01,5110.3304,397856.265,5376.94598333333
"oil_and_natural_gas",2012-10-01,800,246625,800
"bio_oil_and_diesel",2012-11-01,1159,119564.9,1165.33333333333
"coal",2012-11-01,169279.1178,8801796.362,159215.371833333
"natural_gas",2012-11-01,0,2199040.727,0
"oil",2012-11-01,9183.1936,634001.414,5989.4289
"oil_and_natural_gas",2012-11-01,1000,315079,750
"bio_oil_and_diesel",2012-12-01,1055,114402.2,1138.33333333333
"coal",2012-12-01,175940.2422,9295175.656,162529.07955
"natural_gas",2012-12-01,0,2919135.31,0
"oil",2012-12-01,7751.8765,658334.868,6297.33513333333
"oil_and_natural_gas",2012-12-01,1600,363421,866.666666666667
"bio_oil_and_diesel",2013-01-01,1033,114621.7,1079.33333333333
"coal",2013-01-01,173602.9206,9674152.326,163313.804933333
"natural_gas",2013-01-01,0,2707503.093,0
"oil",2013-01-01,8620.3373,619352.016,6715.0766
"oil_and_natural_gas",2013-01-01,1300,263015,933.333333333333
"bio_oil_and_diesel",2013-02-01,894,97498.1,972.666666666667
"coal",2013-02-01,152050.6764,8570823.133,160364.607916667
"natural_gas",2013-02-01,0,2288378.394,0
"oil",2013-02-01,4066.3732,489384.528,6206.95755
"oil_and_natural_gas",2013-02-01,1200,249324,1016.66666666667
"bio_oil_and_diesel",2013-03-01,826,111255.1,944.333333333333
"coal",2013-03-01,182101.8998,9568213.719,166012.730166667
"natural_gas",2013-03-01,0,2197014.286,0
"oil",2013-03-01,3125.2924,497828.467,6309.56723333333
"oil_and_natural_gas",2013-03-01,900,193741,1133.33333333333
"bio_oil_and_diesel",2013-04-01,716,112048.1,947.166666666667
"coal",2013-04-01,142996.97,7889353.61,165995.304466667
"natural_gas",2013-04-01,0,1920132.856,0
"oil",2013-04-01,5511.626,663971.441,6376.44983333333
"oil_and_natural_gas",2013-04-01,1400,422179,1233.33333333333
"bio_oil_and_diesel",2013-05-01,773,113985.6,882.833333333333
"coal",2013-05-01,154487.7405,8246282.949,163530.074916667
"natural_gas",2013-05-01,0,2159596.264,0
"oil",2013-05-01,4515.6916,396781.072,5598.53283333333
"oil_and_natural_gas",2013-05-01,1000,317668,1233.33333333333
"bio_oil_and_diesel",2013-06-01,800,106508.8,840.333333333333
"coal",2013-06-01,162276.0512,8749402.414,161252.70975
"natural_gas",2013-06-01,0,2030321.801,0
"oil",2013-06-01,6190.3887,622673.312,5338.28486666667
"oil_and_natural_gas",2013-06-01,1000,312081,1133.33333333333
"bio_oil_and_diesel",2013-07-01,957,119836.5,827.666666666667
"coal",2013-07-01,198689.3058,9662293.187,165433.77395
"natural_gas",2013-07-01,0,2211414.369,0
"oil",2013-07-01,6412.1137,714672.419,4970.2476
"oil_and_natural_gas",2013-07-01,1100,408852,1100
"bio_oil_and_diesel",2013-08-01,990,123130.6,843.666666666667
"coal",2013-08-01,179803.3733,9424518.099,170059.223433333
"natural_gas",2013-08-01,0,2089647.331,0
"oil",2013-08-01,6697.6532,710850.623,5408.79426666667
"oil_and_natural_gas",2013-08-01,1300,412802,1116.66666666667
"bio_oil_and_diesel",2013-09-01,716,88536.8,825.333333333333
"coal",2013-09-01,155266.7882,8505864.678,165586.704833333
"natural_gas",2013-09-01,0,1844686.466,0
"oil",2013-09-01,4502.6456,312589.299,5638.35313333333
"oil_and_natural_gas",2013-09-01,500,155905,1050
"bio_oil_and_diesel",2013-10-01,721,91178,826.166666666667
"coal",2013-10-01,136918.9455,8219376.047,164573.70075
"natural_gas",2013-10-01,0,2530158.526,0
