"energy_type_clean","date","emissions_kg","generation_mwh","ef_kg_per_mwh","ef_ma_kg_per_mwh"
"coal",2009-04-01,54700,2430528,0.0225053980040551,0.021697457243019
"oil_and_natural_gas",2009-04-01,1800,609351,0.00295396249452286,0.00493414344531829
"coal",2009-05-01,55800,2441095,0.0228585941964569,0.0218291619094842
"oil_and_natural_gas",2009-05-01,1000,279249,0.00358103341462279,0.00415669525918262
"coal",2009-06-01,54900,2721464,0.0201729657272703,0.0215890139679998
"oil_and_natural_gas",2009-06-01,100,22992,0.00434933890048713,0.00395893966701403
"coal",2009-07-01,63500,2943018,0.0215764905277508,0.0213995087142282
"oil_and_natural_gas",2009-07-01,200,32115,0.00622761949244901,0.00422004641086834
"coal",2009-08-01,63900,2938397,0.0217465509255557,0.0214358250585941
"oil_and_natural_gas",2009-08-01,900,132280,0.00680374962201391,0.00462091563569721
"coal",2009-09-01,62000,2932563,0.0211419157917494,0.0216669858621397
"oil_and_natural_gas",2009-09-01,200,42624,0.00469219219219219,0.00476798268604798
"coal",2009-10-01,63700,2764861,0.0230391328895015,0.0217559416763808
"oil_and_natural_gas",2009-10-01,200,19199,0.0104172092296474,0.00601185714190207
"coal",2009-11-01,60700,2959010,0.0205136177302544,0.021365112265347
"oil_and_natural_gas",2009-11-01,2700,382463,0.00705950640977036,0.00659160264109333
"coal",2009-12-01,53900,2670587,0.0201828287189296,0.0213667560972902
"oil_and_natural_gas",2009-12-01,4200,520415,0.00807048221131213,0.0072117931928975
"bio_oil_and_diesel",2010-01-01,857,112324.9,0.0076296529086605,0.0076296529086605
"coal",2010-01-01,155828.3587,9600710.079,0.0162309201525468,0.0204758277014229
"natural_gas",2010-01-01,0,2289997.683,0,0
"oil",2010-01-01,3359.0072,548127.138,0.00612815342852081,0.00612815342852081
"oil_and_natural_gas",2010-01-01,3500,556787,0.00628606630542739,0.00722153432839389
"bio_oil_and_diesel",2010-02-01,800,106096.5,0.00754030528811035,0.00758497909838543
"coal",2010-02-01,133853.8982,8457497.886,0.0158266546446997,0.0194891783212802
"natural_gas",2010-02-01,0,1933989.355,0,0
"oil",2010-02-01,2858.0257,417311.354,0.00684866508568564,0.00648840925710322
"oil_and_natural_gas",2010-02-01,2000,316897,0.00631119890690035,0.00713944254254163
"bio_oil_and_diesel",2010-03-01,860,111928,0.00768351082838968,0.00761782300838684
"coal",2010-03-01,146488.5625,9100644.241,0.0160965046672238,0.0186482764671926
"natural_gas",2010-03-01,0,2243116.556,0,0
"oil",2010-03-01,4121.9191,388382.346,0.0106130444456402,0.00786328765328221
"oil_and_natural_gas",2010-03-01,1600,402506,0.00397509602341332,0.00701992651441182
"bio_oil_and_diesel",2010-04-01,787,97263.7,0.00809140511825069,0.00773621853585281
"coal",2010-04-01,115205.7265,7825152.29,0.0147224900207022,0.0172621693223927
"natural_gas",2010-04-01,0,1845111.062,0,0
"oil",2010-04-01,1327.9988,245477.327,0.00540986337202539,0.007249931582968
"oil_and_natural_gas",2010-04-01,1000,199693,0.00500768679923683,0.00611833944267673
"bio_oil_and_diesel",2010-05-01,1010,110292.1,0.00915750085454897,0.00802047499959204
"coal",2010-05-01,118239.6667,7900901.967,0.0149653377796429,0.0163374559972908
"natural_gas",2010-05-01,0,1635452.505,0,0
"oil",2010-05-01,1666.8958,200965.168,0.00829445130511373,0.00745883552739715
"oil_and_natural_gas",2010-05-01,700,189862,0.00368688837155408,0.00555623643630735
"bio_oil_and_diesel",2010-06-01,1049,113800.7,0.00921786948586432,0.00822004074730409
"coal",2010-06-01,133722.6301,8481304.927,0.0157667518443179,0.0156014431848556
"natural_gas",2010-06-01,0,1635569.607,0,0
"oil",2010-06-01,3024.8016,264312.136,0.0114440511350565,0.0081230381286737
"oil_and_natural_gas",2010-06-01,500,155532,0.00321477252269629,0.00474695148820471
"bio_oil_and_diesel",2010-07-01,1024,109452.5,0.0093556565633494,0.00850770802308557
