"energy_type_clean","date","energy_generated_mwh","energy_generated_mwh_ma6"
"natural_gas",2006-10-01,542123,716022.166666667
"oil_and_natural_gas",2006-10-01,128286,175675.833333333
"coal",2006-11-01,1700350,1995469.5
"natural_gas",2006-11-01,662121,696093.333333333
"oil_and_natural_gas",2006-11-01,865920,304847.666666667
"coal",2006-12-01,2401737,2068513.16666667
"natural_gas",2006-12-01,944214,714587.5
"oil_and_natural_gas",2006-12-01,942364,434146.166666667
"coal",2007-01-01,2373634,2105678.83333333
"natural_gas",2007-01-01,1051255,784463.833333333
"oil_and_natural_gas",2007-01-01,701266,528297.333333333
"coal",2007-02-01,1879267,2052287.66666667
"natural_gas",2007-02-01,981038,816180.5
"oil_and_natural_gas",2007-02-01,645803,580500.333333333
"coal",2007-03-01,2191248,2075599
"natural_gas",2007-03-01,1214751,899250.333333333
"oil_and_natural_gas",2007-03-01,789267,678817.666666667
"coal",2007-04-01,2240880,2131186
"natural_gas",2007-04-01,975927,971551
"oil_and_natural_gas",2007-04-01,527961,745430.166666667
"coal",2007-05-01,2548523,2272548.16666667
"natural_gas",2007-05-01,945464,1018774.83333333
"oil_and_natural_gas",2007-05-01,870944,746267.5
"coal",2007-06-01,2580116,2302278
"natural_gas",2007-06-01,959087,1021253.66666667
"oil_and_natural_gas",2007-06-01,397967,655534.666666667
"coal",2007-07-01,2893108,2388857
"natural_gas",2007-07-01,938508,1002462.5
"oil_and_natural_gas",2007-07-01,239819,578626.833333333
"coal",2007-08-01,2926710,2563430.83333333
"natural_gas",2007-08-01,964178,999652.5
"oil_and_natural_gas",2007-08-01,330233,526031.833333333
"coal",2007-09-01,2673044,2643730.16666667
"natural_gas",2007-09-01,726205,918228.166666667
"oil_and_natural_gas",2007-09-01,189007,425988.5
"coal",2007-10-01,2572819,2699053.33333333
"natural_gas",2007-10-01,976213,918275.833333333
"oil_and_natural_gas",2007-10-01,256360,380721.666666667
"coal",2007-11-01,2831596,2746232.16666667
"natural_gas",2007-11-01,1001631,927637
"oil_and_natural_gas",2007-11-01,245844,276538.333333333
"coal",2007-12-01,3039139,2822736
"natural_gas",2007-12-01,1200322,967842.833333333
"oil_and_natural_gas",2007-12-01,319585,263474.666666667
"coal",2008-01-01,2977918,2836871
"natural_gas",2008-01-01,1459214,1054627.16666667
"oil_and_natural_gas",2008-01-01,439102,296688.5
"coal",2008-02-01,2557468,2775330.66666667
"natural_gas",2008-02-01,1083643,1074538
"oil_and_natural_gas",2008-02-01,379351,304874.833333333
"coal",2008-03-01,2665043,2773997.16666667
"natural_gas",2008-03-01,1126582,1141267.5
"oil_and_natural_gas",2008-03-01,199047,306548.166666667
"coal",2008-04-01,2565437,2772766.83333333
"natural_gas",2008-04-01,843318,1119118.33333333
"oil_and_natural_gas",2008-04-01,72390,275886.5
"coal",2008-05-01,2653026,2743005.16666667
"natural_gas",2008-05-01,824627,1089617.66666667
"oil_and_natural_gas",2008-05-01,49678,243192.166666667
"coal",2008-06-01,2863845,2713789.5
"natural_gas",2008-06-01,670102,1001247.66666667
"oil_and_natural_gas",2008-06-01,65831,200899.833333333
"coal",2008-07-01,2955328,2710024.5
"natural_gas",2008-07-01,939197,914578.166666667
"oil_and_natural_gas",2008-07-01,320331,181104.666666667
"coal",2008-08-01,2963656,2777722.5
"natural_gas",2008-08-01,642115,840990.166666667
"oil_and_natural_gas",2008-08-01,42880,125026.166666667
"coal",2008-09-01,2579673,2763494.16666667
"natural_gas",2008-09-01,824905,790710.666666667
"oil_and_natural_gas",2008-09-01,64641,102625.166666667
"coal",2008-10-01,2620621,2772691.5
"natural_gas",2008-10-01,1041144,823681.666666667
"oil_and_natural_gas",2008-10-01,90271,105605.333333333
"coal",2008-11-01,2623665,2767798
"natural_gas",2008-11-01,994928,852065.166666667
"oil_and_natural_gas",2008-11-01,48510,105410.666666667
"coal",2008-12-01,2808384,2758554.5
"natural_gas",2008-12-01,886411,888116.666666667
"oil_and_natural_gas",2008-12-01,162576,121534.833333333
"coal",2009-01-01,3011422,2767903.5
"natural_gas",2009-01-01,661518,841836.833333333
"oil_and_natural_gas",2009-01-01,536368,157541
"coal",2009-02-01,2531510,2695879.16666667
"natural_gas",2009-02-01,508997,819650.5
"oil_and_natural_gas",2009-02-01,591106,248912
"coal",2009-03-01,2738554,2722359.33333333
"natural_gas",2009-03-01,664551,792924.833333333
"oil_and_natural_gas",2009-03-01,472467,316883
"coal",2009-04-01,2430528,2690677.16666667
"natural_gas",2009-04-01,503977,703397
"oil_and_natural_gas",2009-04-01,609351,403396.333333333
"coal",2009-05-01,2441095,2660248.83333333
"natural_gas",2009-05-01,236961,577069.166666667
"oil_and_natural_gas",2009-05-01,279249,441852.833333333
"coal",2009-06-01,2721464,2645762.16666667
"natural_gas",2009-06-01,714705,548451.5
"oil_and_natural_gas",2009-06-01,26586,419187.833333333
"coal",2009-07-01,2943018,2634361.5
"natural_gas",2009-07-01,623428,542103.166666667
"oil_and_natural_gas",2009-07-01,32115,335145.666666667
"coal",2009-08-01,2938397,2702176
"natural_gas",2009-08-01,646391,565002.166666667
"oil_and_natural_gas",2009-08-01,132280,258674.666666667
"coal",2009-09-01,2932563,2734510.83333333
"natural_gas",2009-09-01,763975,581572.833333333
"oil_and_natural_gas",2009-09-01,42624,187034.166666667
"coal",2009-10-01,2764861,2790233
"natural_gas",2009-10-01,594711,596695.166666667
"oil_and_natural_gas",2009-10-01,19199,88675.5
"coal",2009-11-01,2959010,2876552.16666667
"natural_gas",2009-11-01,937036,713374.333333333
"oil_and_natural_gas",2009-11-01,382463,105877.833333333
"coal",2009-12-01,2670587,2868072.66666667
"natural_gas",2009-12-01,1221458,797833.166666667
"oil_and_natural_gas",2009-12-01,520415,188182.666666667
"bio_oil_and_diesel",2010-01-01,112324.9,112324.9
"coal",2010-01-01,9600710.079,3977688.01316667
"natural_gas",2010-01-01,3587556.683,1291854.61383333
"oil",2010-01-01,548127.138,548127.138
"oil_and_natural_gas",2010-01-01,556787,275628
"bio_oil_and_diesel",2010-02-01,106096.5,109210.7
"coal",2010-02-01,8457497.886,4897538.16083333
"natural_gas",2010-02-01,3028033.355,1688795.00633333
"oil",2010-02-01,417311.354,482719.246
"oil_and_natural_gas",2010-02-01,316897,306397.5
"bio_oil_and_diesel",2010-03-01,111928,110116.466666667
"coal",2010-03-01,9100644.241,5925551.701
"natural_gas",2010-03-01,3624921.556,2165619.43233333
"oil",2010-03-01,388382.346,451273.612666667
"oil_and_natural_gas",2010-03-01,402506,366377.833333333
"bio_oil_and_diesel",2010-04-01,97263.7,106903.275
"coal",2010-04-01,7825152.29,6768933.58266667
"natural_gas",2010-04-01,3295635.062,2615773.44266667
"oil",2010-04-01,245477.327,399824.54125
"oil_and_natural_gas",2010-04-01,199693,396460.166666667
"bio_oil_and_diesel",2010-05-01,110292.1,107581.04
"coal",2010-05-01,7900901.967,7592582.24383333
"natural_gas",2010-05-01,2547253.505,2884143.02683333
"oil",2010-05-01,200965.168,360052.6666
"oil_and_natural_gas",2010-05-01,189862,364360
"bio_oil_and_diesel",2010-06-01,113800.7,108617.65
"coal",2010-06-01,8481304.927,8561035.23166667
"natural_gas",2010-06-01,2574466.607,3109644.46133333
"oil",2010-06-01,264312.136,344095.9115
"oil_and_natural_gas",2010-06-01,155532,303546.166666667
"bio_oil_and_diesel",2010-07-01,109452.5,108138.916666667
"coal",2010-07-01,9535802.557,8550217.31133333
"natural_gas",2010-07-01,2865975.728,2989380.96883333
"oil",2010-07-01,340937.092,309564.237166667
"oil_and_natural_gas",2010-07-01,189444,242322.333333333
"bio_oil_and_diesel",2010-08-01,119718,110409.166666667
"coal",2010-08-01,9743592.528,8764566.41833333
"natural_gas",2010-08-01,2881061.608,2964885.67766667
"oil",2010-08-01,336358.798,296072.1445
"oil_and_natural_gas",2010-08-01,233223,228376.666666667
"bio_oil_and_diesel",2010-09-01,98102,108104.833333333
"coal",2010-09-01,9150803.81,8772926.3465
"natural_gas",2010-09-01,2645523.041,2801652.59183333
"oil",2010-09-01,218616.339,267777.81
"oil_and_natural_gas",2010-09-01,186502,192376
"bio_oil_and_diesel",2010-10-01,67453.9,103136.533333333
"coal",2010-10-01,9079936.913,8982057.117
"natural_gas",2010-10-01,2657271.962,2695258.74183333
"oil",2010-10-01,118962.363,246691.982666667
"oil_and_natural_gas",2010-10-01,86847,173568.333333333
"bio_oil_and_diesel",2010-11-01,115135.9,103943.833333333
"coal",2010-11-01,8693029.666,9114078.40016667
"natural_gas",2010-11-01,3661696.382,2880999.22133333
"oil",2010-11-01,12475.252,215276.996666667
"oil_and_natural_gas",2010-11-01,159271,168469.833333333
"bio_oil_and_diesel",2010-12-01,113177.5,103839.966666667
"coal",2010-12-01,9084906.48,9214678.659
"natural_gas",2010-12-01,4740052.407,3241930.188
"oil",2010-12-01,442661.844,245001.948
"oil_and_natural_gas",2010-12-01,469585,220812
"bio_oil_and_diesel",2011-01-01,119814.5,105566.966666667
"coal",2011-01-01,9661630.548,9235649.99083333
"natural_gas",2011-01-01,5297326.586,3647155.331
"oil",2011-01-01,821544.252,325103.141333333
"oil_and_natural_gas",2011-01-01,606971,290399.833333333
"bio_oil_and_diesel",2011-02-01,97014.6,101783.066666667
"coal",2011-02-01,8270466.699,8990129.01933333
"natural_gas",2011-02-01,3571529.912,3762233.38166667
"oil",2011-02-01,360292.407,329092.076166667
"oil_and_natural_gas",2011-02-01,210557,286622.166666667
"bio_oil_and_diesel",2011-03-01,117877.6,105079
"coal",2011-03-01,8826774.621,8936124.1545
"natural_gas",2011-03-01,4388161.22,4052673.07816667
"oil",2011-03-01,542130.697,383011.135833333
"oil_and_natural_gas",2011-03-01,273978,301201.5
"bio_oil_and_diesel",2011-04-01,104419.1,111239.866666667
"coal",2011-04-01,7962411.121,8749869.85583333
"natural_gas",2011-04-01,3737255.537,4232670.34066667
"oil",2011-04-01,57202.948,372717.9
"oil_and_natural_gas",2011-04-01,258353,329785.833333333
"bio_oil_and_diesel",2011-05-01,106204.9,109751.366666667
"coal",2011-05-01,7932640.042,8623138.25183333
"natural_gas",2011-05-01,2723416.597,4076290.3765
"oil",2011-05-01,0,370638.691333333
"oil_and_natural_gas",2011-05-01,64999,314073.833333333
"bio_oil_and_diesel",2011-06-01,109019.9,109058.433333333
"coal",2011-06-01,8276996.31,8488486.55683333
"natural_gas",2011-06-01,3108996.282,3804447.689
"oil",2011-06-01,300922.093,347015.3995
"oil_and_natural_gas",2011-06-01,257417,278712.5
"bio_oil_and_diesel",2011-07-01,112658.3,107865.733333333
"coal",2011-07-01,9607051.394,8479390.03116667
"natural_gas",2011-07-01,2823736.368,3392182.65266667
"oil",2011-07-01,102508.34,227176.080833333
"oil_and_natural_gas",2011-07-01,65888,188532
"bio_oil_and_diesel",2011-08-01,116750.6,111155.066666667
"coal",2011-08-01,9557836.752,8693951.70666667
"natural_gas",2011-08-01,2746197.243,3254627.20783333
"oil",2011-08-01,46040.284,174800.727
"oil_and_natural_gas",2011-08-01,87788,168070.5
"bio_oil_and_diesel",2011-09-01,105784.9,109139.616666667
"coal",2011-09-01,8819140.194,8692679.30216667
"natural_gas",2011-09-01,3043799.309,3030566.88933333
"oil",2011-09-01,273110.171,129963.972666667
"oil_and_natural_gas",2011-09-01,195527,154995.333333333
"bio_oil_and_diesel",2011-10-01,67976.1,103065.783333333
"coal",2011-10-01,9609025.425,8967115.0195
"natural_gas",2011-10-01,2420007.203,2811025.50033333
"oil",2011-10-01,86332.907,134818.965833333
"oil_and_natural_gas",2011-10-01,84842,126076.833333333
"bio_oil_and_diesel",2011-11-01,107309.5,103249.883333333
"coal",2011-11-01,9031969.142,9150336.53616667
"natural_gas",2011-11-01,3191917.992,2889109.06616667
"oil",2011-11-01,103238.337,152025.355333333
"oil_and_natural_gas",2011-11-01,187186,146441.333333333
"bio_oil_and_diesel",2011-12-01,115584.6,104344
"coal",2011-12-01,9678002.772,9383837.61316667
"natural_gas",2011-12-01,4444938.947,3111766.177
"oil",2011-12-01,325193.508,156070.591166667
"oil_and_natural_gas",2011-12-01,315707,156156.333333333
"bio_oil_and_diesel",2012-01-01,124290.4,106282.683333333
"coal",2012-01-01,9606218.774,9383698.84316667
"natural_gas",2012-01-01,4107000.968,3325643.61033333
"oil",2012-01-01,371447.121,200893.721333333
"oil_and_natural_gas",2012-01-01,314612,197610.333333333
"bio_oil_and_diesel",2012-02-01,109871.2,105136.116666667
"coal",2012-02-01,9079032.453,9303898.12666667
"natural_gas",2012-02-01,4392169.995,3599972.40233333
"oil",2012-02-01,465464.396,270797.74
"oil_and_natural_gas",2012-02-01,315088,235493.666666667
"bio_oil_and_diesel",2012-03-01,114751.5,106630.55
"coal",2012-03-01,9283275.27,9381253.97266667
"natural_gas",2012-03-01,4174539.376,3788429.08016667
"oil",2012-03-01,526119.54,312965.968166667
"oil_and_natural_gas",2012-03-01,317643,255846.333333333
"bio_oil_and_diesel",2012-04-01,103279.5,112514.45
"coal",2012-04-01,7559439.272,9039656.2805
"natural_gas",2012-04-01,3863605.034,4029028.71866667
"oil",2012-04-01,558424.725,391647.937833333
"oil_and_natural_gas",2012-04-01,425772,312668
"bio_oil_and_diesel",2012-05-01,114456.1,113705.55
"coal",2012-05-01,8093215.806,8883197.39116667
"natural_gas",2012-05-01,3533317.863,4085928.69716667
"oil",2012-05-01,570036.769,469447.6765
"oil_and_natural_gas",2012-05-01,401554,348396
"bio_oil_and_diesel",2012-06-01,102371.6,111503.383333333
"coal",2012-06-01,8634073.352,8709209.1545
"natural_gas",2012-06-01,3246557.734,3886198.495
"oil",2012-06-01,634889.038,521063.598166667
"oil_and_natural_gas",2012-06-01,247308,336996.166666667
"bio_oil_and_diesel",2012-07-01,118762.5,110582.066666667
"coal",2012-07-01,9359355.259,8668065.23533333
"natural_gas",2012-07-01,3465653.289,3779307.21516667
"oil",2012-07-01,681315.959,572708.4045
"oil_and_natural_gas",2012-07-01,356358,343953.833333333
"bio_oil_and_diesel",2012-08-01,117896.7,111919.65
"coal",2012-08-01,9602901.668,8755376.77116667
"natural_gas",2012-08-01,3158147.888,3573636.864
"oil",2012-08-01,659252.6,605006.4385
"oil_and_natural_gas",2012-08-01,231672,330051.166666667
"bio_oil_and_diesel",2012-09-01,96070.6,108806.166666667
"coal",2012-09-01,8596426.137,8640901.91566667
"natural_gas",2012-09-01,2546676.787,3302326.4325
"oil",2012-09-01,211027.146,552491.0395
"oil_and_natural_gas",2012-09-01,69457,288686.833333333
"bio_oil_and_diesel",2012-10-01,74755.4,104052.15
"coal",2012-10-01,8299161.71,8764188.98866667
"natural_gas",2012-10-01,2820708.446,3128510.3345
"oil",2012-10-01,397856.265,525729.6295
"oil_and_natural_gas",2012-10-01,246625,258829
"bio_oil_and_diesel",2012-11-01,119564.9,104903.616666667
"coal",2012-11-01,8801796.362,8882285.748
"natural_gas",2012-11-01,4165598.727,3233890.4785
"oil",2012-11-01,634001.414,536390.403666667
"oil_and_natural_gas",2012-11-01,315079,244416.5
"bio_oil_and_diesel",2012-12-01,114402.2,106908.716666667
"coal",2012-12-01,9678050.202,9056281.88966667
