"pollutant","plant_label","plant","plant_id","years","generation_mwh","max_ef"
"SOx","Plant 1","영흥#1","epsis_000bf26a6c20",10,323596683.889,0.147923015885822
"SOx","Plant 2","태안#1","epsis_fd745dacd228",10,321265135.779096,0.403140421619796
"SOx","Plant 3","당진#1","epsis_c21285c806f7",10,313815633.050385,0.212874633869294
"SOx","Plant 4","하동#1","epsis_6168fff3abfd",10,252697085.887498,0.287059340250795
"SOx","Plant 5","삼천포#1","epsis_2c71027a1ed2",10,167710773.708352,0.679176357709236
"SOx","Plant 6","신보령#1","epsis_7c4091c4ad04",8,95558043.0515,0.191159343676662
