"fuel","fuel_label","pollutant","plant_years","ef_n","mean","sd","min","p25","median","p75","max","total_generation_mwh","total_emissions_kg","aggregate_ef_kg_per_mwh"
"무연탄 | 바이오 | 바이오중유","Anthracite | Bio | Bio heavy oil","SOx",5,0,,,,,,,,0,64103,
"무연탄 | 바이오 | 바이오중유","Anthracite | Bio | Bio heavy oil","TSP",5,0,,,,,,,,0,64401,
"석탄","Coal","NOx",11,9,41.8222285549715,118.214640499553,0.0517986980031305,0.207361431841106,0.459488308265885,8.15011312212619,356.9221009092,5887688.376325,1385984,0.235403763142965
"석탄","Coal","SOx",11,9,21.9491563479617,60.6053148075334,0.0545004165828005,0.155663240600538,0.338229858128335,5.1722352629692,183.396424905038,5887688.376325,1183580,0.201026264358572
"석탄","Coal","TSP",11,9,3.15292048445899,8.86344105306256,0.00202345208689471,0.0137471911755604,0.029491336198839,0.508179800002311,26.7714739512455,5887688.376325,101049,0.0171627629625115
"석탄 | 유연탄","Coal | Bituminous coal","NOx",23,0,,,,,,,,0,4834329,
"석탄 | 유연탄","Coal | Bituminous coal","SOx",23,0,,,,,,,,0,5106294,
"석탄 | 유연탄","Coal | Bituminous coal","TSP",23,0,,,,,,,,0,299082,
"유류","Oil","NOx",10,6,0.764629852653307,0.560218668673561,0,0.375208340595494,0.814789426464069,1.19197880954544,1.41181034711317,754191.361289,476641,0.631989471724213
"유류","Oil","SOx",10,6,0.592505273619187,0.661536478212025,0,0.154090695124134,0.438226252418128,0.732563064051524,1.78852495959007,754191.361289,251641,0.333656698970824
"유류","Oil","TSP",10,6,0.0420858088896887,0.0366318962576769,0,0.0255103783347586,0.0333569508861259,0.0498581034428335,0.107547609786509,754191.361289,36210,0.0480116875617787
"유연탄","Bituminous coal","NOx",166,91,0.225657599462805,0.239918198332432,0.0236038038874497,0.0789564370138606,0.137975432915332,0.240637223335773,1.02915295270529,1672346951.47077,367644490.7339,0.219837450841507
"유연탄","Bituminous coal","SOx",166,91,0.174697033619343,0.181797921964455,0.0113068069825339,0.0626518028297745,0.127570688660185,0.184088018574994,0.862291285813277,1672346951.47077,311941006.4922,0.186528881592339
"유연탄","Bituminous coal","TSP",166,91,0.00936582817836937,0.00538156432936137,0.00089599467842883,0.00555272992255148,0.00855974571166908,0.0118580128886201,0.0279063566299915,1672346951.47077,18019197.9296,0.0107747964103697
"유연탄 | 중유","Bituminous coal | Heavy oil","NOx",9,0,,,,,,,,0,5760094,
"유연탄 | 중유","Bituminous coal | Heavy oil","SOx",9,0,,,,,,,,0,1812477,
"유연탄 | 중유","Bituminous coal | Heavy oil","TSP",9,0,,,,,,,,0,95746,
"중유","Heavy oil","NOx",31,10,0.652690530151897,0.760549295348414,0,0.157739008053031,0.267419972215136,1.2655782158904,1.8692105002178,14543080.5,7990432,0.549431875867015
"중유","Heavy oil","SOx",31,10,0.266288838268241,0.288618756834413,0,0.0791253121216816,0.12285785098933,0.508534551524717,0.736394786180693,14543080.5,4106510,0.282368649475605
"중유","Heavy oil","TSP",31,7,0.00688864288977398,0.00495249266277027,0,0.00300574027397519,0.00765974874043937,0.0109927551725074,0.0125637605950134,12151790.5,114794,0.00944667372269132
