"year","rows","plants","plants_with_generation","plants_with_any_ef","total_generation_mwh"
2015,132,132,95,42,445283531
2016,135,135,92,40,438595131
2017,104,104,96,82,487956907.121723
2018,103,103,61,47,462518610.016211
2019,105,105,62,47,463748452.145366
2020,107,107,61,48,448378947.218343
2021,109,109,61,48,453511639.628315
2022,109,109,60,47,433930159.91989
2023,111,111,61,50,418509810.396217
2024,116,116,106,79,475649273.262032
