"date","observed","ef_kg_per_mwh","two_period_hat","post_median_hat","pollutant","group","break_date"
2008-01-01,TRUE,0.0237749998488877,0.0222430039893965,0.0237749998488877,"TSP","coal, 6-month MA",2019-08-01
2008-02-01,TRUE,0.0239111107770528,0.0221750782401008,0.0239111107770528,"TSP","coal, 6-month MA",2019-08-01
2008-03-01,TRUE,0.0229450052397176,0.0221071524908051,0.0229450052397176,"TSP","coal, 6-month MA",2019-08-01
2008-04-01,TRUE,0.0230946907117088,0.0220392267415095,0.0230946907117088,"TSP","coal, 6-month MA",2019-08-01
2008-05-01,TRUE,0.0233079705725076,0.0219713009922138,0.0233079705725076,"TSP","coal, 6-month MA",2019-08-01
2008-06-01,TRUE,0.023671676535166,0.0219033752429181,0.023671676535166,"TSP","coal, 6-month MA",2019-08-01
2008-07-01,TRUE,0.0237583604975207,0.0218354494936225,0.0237583604975207,"TSP","coal, 6-month MA",2019-08-01
2008-08-01,TRUE,0.0240076194707844,0.0217675237443268,0.0240076194707844,"TSP","coal, 6-month MA",2019-08-01
2008-09-01,TRUE,0.0246468388755869,0.0216995979950311,0.0246468388755869,"TSP","coal, 6-month MA",2019-08-01
2008-10-01,TRUE,0.0246977658542499,0.0216316722457355,0.0246977658542499,"TSP","coal, 6-month MA",2019-08-01
2008-11-01,TRUE,0.0243489785512438,0.0215637464964398,0.0243489785512438,"TSP","coal, 6-month MA",2019-08-01
2008-12-01,TRUE,0.0237029197225302,0.0214958207471441,0.0237029197225302,"TSP","coal, 6-month MA",2019-08-01
2009-01-01,TRUE,0.0234393227937576,0.0214278949978484,0.0234393227937576,"TSP","coal, 6-month MA",2019-08-01
2009-02-01,TRUE,0.0227703023461844,0.0213599692485528,0.0227703023461844,"TSP","coal, 6-month MA",2019-08-01
2009-03-01,TRUE,0.0219214424089533,0.0212920434992571,0.0219214424089533,"TSP","coal, 6-month MA",2019-08-01
2009-04-01,TRUE,0.021697457243019,0.0212241177499614,0.021697457243019,"TSP","coal, 6-month MA",2019-08-01
2009-05-01,TRUE,0.0218291619094842,0.0211561920006658,0.0218291619094842,"TSP","coal, 6-month MA",2019-08-01
2009-06-01,TRUE,0.0215890139679998,0.0210882662513701,0.0215890139679998,"TSP","coal, 6-month MA",2019-08-01
2009-07-01,TRUE,0.0213995087142282,0.0210203405020744,0.0213995087142282,"TSP","coal, 6-month MA",2019-08-01
2009-08-01,TRUE,0.0214358250585941,0.0209524147527788,0.0214358250585941,"TSP","coal, 6-month MA",2019-08-01
2009-09-01,TRUE,0.0216669858621397,0.0208844890034831,0.0216669858621397,"TSP","coal, 6-month MA",2019-08-01
2009-10-01,TRUE,0.0217559416763808,0.0208165632541874,0.0217559416763808,"TSP","coal, 6-month MA",2019-08-01
2009-11-01,TRUE,0.021365112265347,0.0207486375048917,0.021365112265347,"TSP","coal, 6-month MA",2019-08-01
2009-12-01,TRUE,0.0213667560972902,0.0206807117555961,0.0213667560972902,"TSP","coal, 6-month MA",2019-08-01
2010-01-01,TRUE,0.0204758277014229,0.0206127860063004,0.0204758277014229,"TSP","coal, 6-month MA",2019-08-01
2010-02-01,TRUE,0.0194891783212802,0.0205448602570047,0.0194891783212802,"TSP","coal, 6-month MA",2019-08-01
2010-03-01,TRUE,0.0186482764671926,0.0204769345077091,0.0186482764671926,"TSP","coal, 6-month MA",2019-08-01
2010-04-01,TRUE,0.0172621693223927,0.0204090087584134,0.0172621693223927,"TSP","coal, 6-month MA",2019-08-01
2010-05-01,TRUE,0.0163374559972908,0.0203410830091177,0.0163374559972908,"TSP","coal, 6-month MA",2019-08-01
2010-06-01,TRUE,0.0156014431848556,0.020273157259822,0.0156014431848556,"TSP","coal, 6-month MA",2019-08-01
2010-07-01,TRUE,0.0156239185576973,0.0202052315105264,0.0156239185576973,"TSP","coal, 6-month MA",2019-08-01
2010-08-01,TRUE,0.0158222648867907,0.0201373057612307,0.0158222648867907,"TSP","coal, 6-month MA",2019-08-01
2010-09-01,TRUE,0.0159633060077726,0.020069380011935,0.0159633060077726,"TSP","coal, 6-month MA",2019-08-01
2010-10-01,TRUE,0.0165067321514676,0.0200014542626394,0.0165067321514676,"TSP","coal, 6-month MA",2019-08-01
2010-11-01,TRUE,0.0169395172637387,0.0199335285133437,0.0169395172637387,"TSP","coal, 6-month MA",2019-08-01
2010-12-01,TRUE,0.017196196691898,0.019865602764048,0.017196196691898,"TSP","coal, 6-month MA",2019-08-01
2011-01-01,TRUE,0.0172486803647097,0.0197976770147524,0.0172486803647097,"TSP","coal, 6-month MA",2019-08-01
2011-02-01,TRUE,0.0171956065590582,0.0197297512654567,0.0171956065590582,"TSP","coal, 6-month MA",2019-08-01
2011-03-01,TRUE,0.0173482684285876,0.019661825516161,0.0173482684285876,"TSP","coal, 6-month MA",2019-08-01
2011-04-01,TRUE,0.0172545081190202,0.0195938997668653,0.0172545081190202,"TSP","coal, 6-month MA",2019-08-01
2011-05-01,TRUE,0.0173377361658218,0.0195259740175697,0.0173377361658218,"TSP","coal, 6-month MA",2019-08-01
2011-06-01,TRUE,0.0177774423621212,0.019458048268274,0.0177774423621212,"TSP","coal, 6-month MA",2019-08-01
2011-07-01,TRUE,0.0180787855472112,0.0193901225189783,0.0180787855472112,"TSP","coal, 6-month MA",2019-08-01
2011-08-01,TRUE,0.0183742434566675,0.0193221967696827,0.0183742434566675,"TSP","coal, 6-month MA",2019-08-01
2011-09-01,TRUE,0.018312379312055,0.019254271020387,0.018312379312055,"TSP","coal, 6-month MA",2019-08-01
2011-10-01,TRUE,0.0183671268269319,0.0191863452710913,0.0183671268269319,"TSP","coal, 6-month MA",2019-08-01
2011-11-01,TRUE,0.0182015656175961,0.0191184195217957,0.0182015656175961,"TSP","coal, 6-month MA",2019-08-01
2011-12-01,TRUE,0.0178385664641776,0.0190504937725,0.0178385664641776,"TSP","coal, 6-month MA",2019-08-01
2012-01-01,TRUE,0.0176564766957752,0.0189825680232043,0.0176564766957752,"TSP","coal, 6-month MA",2019-08-01
2012-02-01,TRUE,0.0173358285347162,0.0189146422739086,0.0173358285347162,"TSP","coal, 6-month MA",2019-08-01
2012-03-01,TRUE,0.0173369544976074,0.018846716524613,0.0173369544976074,"TSP","coal, 6-month MA",2019-08-01
2012-04-01,TRUE,0.0173384253403238,0.0187787907753173,0.0173384253403238,"TSP","coal, 6-month MA",2019-08-01
2012-05-01,TRUE,0.0174986863863878,0.0187108650260216,0.0174986863863878,"TSP","coal, 6-month MA",2019-08-01
2012-06-01,TRUE,0.0175499523488125,0.018642939276726,0.0175499523488125,"TSP","coal, 6-month MA",2019-08-01
2012-07-01,TRUE,0.0176581756123997,0.0185750135274303,0.0176581756123997,"TSP","coal, 6-month MA",2019-08-01
2012-08-01,TRUE,0.0178464038010808,0.0185070877781346,0.0178464038010808,"TSP","coal, 6-month MA",2019-08-01
2012-09-01,TRUE,0.0178042305434832,0.018439162028839,0.0178042305434832,"TSP","coal, 6-month MA",2019-08-01
2012-10-01,TRUE,0.0177184128491437,0.0183712362795433,0.0177184128491437,"TSP","coal, 6-month MA",2019-08-01
2012-11-01,TRUE,0.017918866465066,0.0183033105302476,0.017918866465066,"TSP","coal, 6-month MA",2019-08-01
2012-12-01,TRUE,0.0180611094766148,0.0182353847809519,0.0180611094766148,"TSP","coal, 6-month MA",2019-08-01
2013-01-01,TRUE,0.0180443581547619,0.0181674590316563,0.0180443581547619,"TSP","coal, 6-month MA",2019-08-01
2013-02-01,TRUE,0.0180550216986179,0.0180995332823606,0.0180550216986179,"TSP","coal, 6-month MA",2019-08-01
2013-03-01,TRUE,0.018353473382718,0.0180316075330649,0.018353473382718,"TSP","coal, 6-month MA",2019-08-01
2013-04-01,TRUE,0.0185005433398144,0.0179636817837693,0.0185005433398144,"TSP","coal, 6-month MA",2019-08-01
2013-05-01,TRUE,0.0184175250088363,0.0178957560344736,0.0184175250088363,"TSP","coal, 6-month MA",2019-08-01
2013-06-01,TRUE,0.0183540211076354,0.0178278302851779,0.0183540211076354,"TSP","coal, 6-month MA",2019-08-01
2013-07-01,TRUE,0.0187904116082289,0.0177599045358823,0.0187904116082289,"TSP","coal, 6-month MA",2019-08-01
2013-08-01,TRUE,0.019013371239654,0.0176919787865866,0.019013371239654,"TSP","coal, 6-month MA",2019-08-01
2013-09-01,TRUE,0.0188837249492644,0.0176240530372909,0.0188837249492644,"TSP","coal, 6-month MA",2019-08-01
2013-10-01,TRUE,0.0186391852381539,0.0175561272879952,0.0186391852381539,"TSP","coal, 6-month MA",2019-08-01
2013-11-01,TRUE,0.0186074414421555,0.0174882015386996,0.0186074414421555,"TSP","coal, 6-month MA",2019-08-01
2013-12-01,TRUE,0.0184282168767635,0.0174202757894039,0.0184282168767635,"TSP","coal, 6-month MA",2019-08-01
2014-01-01,TRUE,0.0178911312675179,0.0173523500401082,0.0178911312675179,"TSP","coal, 6-month MA",2019-08-01
2014-02-01,TRUE,0.0177967700757371,0.0172844242908126,0.0177967700757371,"TSP","coal, 6-month MA",2019-08-01
2014-03-01,TRUE,0.0177206058798734,0.0172164985415169,0.0177206058798734,"TSP","coal, 6-month MA",2019-08-01
2014-04-01,TRUE,0.0179203409691614,0.0171485727922212,0.0179203409691614,"TSP","coal, 6-month MA",2019-08-01
2014-05-01,TRUE,0.018372551020197,0.0170806470429256,0.018372551020197,"TSP","coal, 6-month MA",2019-08-01
